(('write', 'modify', 'integr', 'test'), 58) 12.16%
(('modify', 'integr', 'test', 'softwar'), 44) 9.22%
(('integr', 'test', 'softwar', 'code'), 44) 9.22%
(('maintain', 'exist', 'comput', 'program'), 42) 8.81%
(('exist', 'comput', 'program', 'make'), 42) 8.81%
(('comput', 'program', 'make', 'modif'), 42) 8.81%
(('identifi', 'commun', 'technic', 'problems'), 41) 8.60%
(('prepar', 'reports', 'manual', 'document'), 39) 8.18%
(('reports', 'manual', 'document', 'status'), 39) 8.18%
(('manual', 'document', 'status', 'oper'), 39) 8.18%
(('document', 'status', 'oper', 'mainten'), 39) 8.18%
(('commun', 'technic', 'problems', 'process'), 39) 8.18%
(('program', 'make', 'modif', 'requir'), 39) 8.18%
(('status', 'oper', 'mainten', 'softwar'), 38) 7.97%
(('test', 'softwar', 'code', 'identifi'), 38) 7.97%
(('softwar', 'code', 'identifi', 'commun'), 38) 7.97%
(('code', 'identifi', 'commun', 'technic'), 38) 7.97%
(('technic', 'problems', 'process', 'solut'), 38) 7.97%
(('collect', 'document', 'user', 'requir'), 38) 7.97%
(('oper', 'mainten', 'softwar', 'assist'), 37) 7.76%
(('assist', 'collect', 'document', 'user'), 36) 7.55%
(('develop', 'logic', 'physic', 'specif'), 35) 7.34%
(('problems', 'process', 'solut', 'prepar'), 35) 7.34%
(('process', 'solut', 'prepar', 'reports'), 35) 7.34%
(('solut', 'prepar', 'reports', 'manual'), 35) 7.34%
(('assist', 'develop', 'logic', 'physic'), 33) 6.92%
(('dental', 'care', 'extend', 'health'), 33) 6.92%
(('care', 'extend', 'health', 'care'), 33) 6.92%
(('test', 'softwar', 'code', 'ecommerc'), 33) 6.92%
(('softwar', 'code', 'ecommerc', 'internet'), 33) 6.92%
(('mainten', 'softwar', 'assist', 'collect'), 33) 6.92%
(('softwar', 'assist', 'collect', 'document'), 33) 6.92%
(('team', 'player', 'excel', 'oral'), 32) 6.71%
(('player', 'excel', 'oral', 'commun'), 32) 6.71%
(('code', 'ecommerc', 'internet', 'applic'), 31) 6.50%
(('make', 'modif', 'requir', 'write'), 29) 6.08%
(('modif', 'requir', 'write', 'modify'), 29) 6.08%
(('requir', 'write', 'modify', 'integr'), 29) 6.08%
(('initi', 'effect', 'interperson', 'skill'), 29) 6.08%
(('care', '8', 'hour', 'shift'), 28) 5.87%
(('document', 'user', 'requir', 'assist'), 28) 5.87%
(('user', 'requir', 'assist', 'develop'), 28) 5.87%
(('requir', 'assist', 'develop', 'logic'), 28) 5.87%
(('excel', 'oral', 'commun', 'excel'), 26) 5.45%
(('oral', 'commun', 'excel', 'written'), 26) 5.45%
(('commun', 'excel', 'written', 'commun'), 26) 5.45%
(('vision', 'care', '8', 'hour'), 25) 5.24%
(('effect', 'interperson', 'skill', 'accur'), 23) 4.82%
(('interperson', 'skill', 'accur', 'team'), 23) 4.82%
(('skill', 'accur', 'team', 'player'), 23) 4.82%
(('evalu', 'varieti', 'softwar', 'product'), 23) 4.82%
(('accur', 'team', 'player', 'excel'), 22) 4.61%
(('compani', 'event', 'dental', 'care'), 21) 4.40%
(('logic', 'physic', 'specif', 'evalu'), 20) 4.19%
(('physic', 'specif', 'evalu', 'varieti'), 20) 4.19%
(('specif', 'evalu', 'varieti', 'softwar'), 20) 4.19%
(('excel', 'written', 'commun', 'client'), 18) 3.77%
(('written', 'commun', 'client', 'focu'), 18) 3.77%
(('extend', 'health', 'care', 'flexibl'), 17) 3.56%
(('health', 'care', 'flexibl', 'schedul'), 17) 3.56%
(('casual', 'dress', 'compani', 'event'), 16) 3.35%
(('benefit', 'group', 'insur', 'benefit'), 16) 3.35%
(('client', 'focu', 'judgement', 'organ'), 16) 3.35%
