(('team', 'player', 'excel', 'oral', 'commun'), 60) 8.17%
(('excel', 'oral', 'commun', 'excel', 'written'), 59) 8.04%
(('oral', 'commun', 'excel', 'written', 'commun'), 59) 8.04%
(('player', 'excel', 'oral', 'commun', 'excel'), 55) 7.49%
(('excel', 'written', 'commun', 'client', 'focu'), 46) 6.27%
(('commun', 'excel', 'written', 'commun', 'client'), 44) 5.99%
(('identifi', 'commun', 'technic', 'problems', 'process'), 44) 5.99%
(('commun', 'technic', 'problems', 'process', 'solut'), 44) 5.99%
(('maintain', 'exist', 'comput', 'program', 'make'), 44) 5.99%
(('exist', 'comput', 'program', 'make', 'modif'), 44) 5.99%
(('comput', 'program', 'make', 'modif', 'requir'), 44) 5.99%
(('effect', 'interperson', 'skill', 'accur', 'team'), 42) 5.72%
(('interperson', 'skill', 'accur', 'team', 'player'), 42) 5.72%
(('write', 'modify', 'integr', 'test', 'softwar'), 42) 5.72%
(('modify', 'integr', 'test', 'softwar', 'code'), 42) 5.72%
(('integr', 'test', 'softwar', 'code', 'identifi'), 42) 5.72%
(('test', 'softwar', 'code', 'identifi', 'commun'), 42) 5.72%
(('softwar', 'code', 'identifi', 'commun', 'technic'), 42) 5.72%
(('code', 'identifi', 'commun', 'technic', 'problems'), 42) 5.72%
(('prepar', 'reports', 'manual', 'document', 'status'), 42) 5.72%
(('reports', 'manual', 'document', 'status', 'oper'), 42) 5.72%
(('manual', 'document', 'status', 'oper', 'mainten'), 42) 5.72%
(('accur', 'team', 'player', 'excel', 'oral'), 41) 5.59%
(('document', 'status', 'oper', 'mainten', 'softwar'), 41) 5.59%
(('assist', 'collect', 'document', 'user', 'requir'), 40) 5.45%
(('assist', 'develop', 'logic', 'physic', 'specif'), 40) 5.45%
(('technic', 'problems', 'process', 'solut', 'prepar'), 39) 5.31%
(('problems', 'process', 'solut', 'prepar', 'reports'), 39) 5.31%
(('process', 'solut', 'prepar', 'reports', 'manual'), 39) 5.31%
(('solut', 'prepar', 'reports', 'manual', 'document'), 39) 5.31%
(('status', 'oper', 'mainten', 'softwar', 'assist'), 39) 5.31%
(('initi', 'effect', 'interperson', 'skill', 'accur'), 37) 5.04%
(('skill', 'accur', 'team', 'player', 'excel'), 37) 5.04%
(('collect', 'document', 'user', 'requir', 'assist'), 37) 5.04%
(('document', 'user', 'requir', 'assist', 'develop'), 37) 5.04%
(('user', 'requir', 'assist', 'develop', 'logic'), 37) 5.04%
(('requir', 'assist', 'develop', 'logic', 'physic'), 37) 5.04%
(('commun', 'client', 'focu', 'judgement', 'organ'), 36) 4.90%
(('oper', 'mainten', 'softwar', 'assist', 'collect'), 36) 4.90%
(('mainten', 'softwar', 'assist', 'collect', 'document'), 36) 4.90%
(('softwar', 'assist', 'collect', 'document', 'user'), 36) 4.90%
(('written', 'commun', 'client', 'focu', 'judgement'), 35) 4.77%
(('dental', 'care', 'extend', 'health', 'care'), 33) 4.50%
(('develop', 'logic', 'physic', 'specif', 'evalu'), 32) 4.36%
(('logic', 'physic', 'specif', 'evalu', 'varieti'), 32) 4.36%
(('physic', 'specif', 'evalu', 'varieti', 'softwar'), 32) 4.36%
(('specif', 'evalu', 'varieti', 'softwar', 'product'), 32) 4.36%
(('program', 'make', 'modif', 'requir', 'write'), 31) 4.22%
