(('dental', 'care', 'extend', 'health', 'care'), 51) 6.43%
(('extend', 'health', 'care', 'flexibl', 'schedul'), 43) 5.42%
(('team', 'player', 'excel', 'oral', 'commun'), 37) 4.67%
(('player', 'excel', 'oral', 'commun', 'excel'), 35) 4.41%
(('excel', 'oral', 'commun', 'excel', 'written'), 35) 4.41%
(('oral', 'commun', 'excel', 'written', 'commun'), 35) 4.41%
(('8', 'hour', 'shift', 'monday', 'friday'), 34) 4.29%
(('excel', 'written', 'commun', 'client', 'focu'), 31) 3.91%
(('source', 'select', 'organ', 'inclus', 'design'), 30) 3.78%
(('select', 'organ', 'inclus', 'design', 'appearance'), 30) 3.78%
(('organ', 'inclus', 'design', 'appearance', 'layout'), 30) 3.78%
(('inclus', 'design', 'appearance', 'layout', 'flow'), 30) 3.78%
(('design', 'appearance', 'layout', 'flow', 'websit'), 30) 3.78%
(('appearance', 'layout', 'flow', 'websit', 'creat'), 30) 3.78%
(('layout', 'flow', 'websit', 'creat', 'optim'), 30) 3.78%
(('flow', 'websit', 'creat', 'optim', 'content'), 30) 3.78%
(('websit', 'creat', 'optim', 'content', 'websit'), 30) 3.78%
(('creat', 'optim', 'content', 'websit', 'varieti'), 30) 3.78%
(('optim', 'content', 'websit', 'varieti', 'graphics'), 30) 3.78%
(('content', 'websit', 'varieti', 'graphics', 'database'), 30) 3.78%
(('websit', 'varieti', 'graphics', 'database', 'anim'), 30) 3.78%
(('varieti', 'graphics', 'database', 'anim', 'softwar'), 30) 3.78%
(('plan', 'design', 'write', 'modify', 'integr'), 30) 3.78%
(('design', 'write', 'modify', 'integr', 'test'), 30) 3.78%
(('write', 'modify', 'integr', 'test', 'websit'), 30) 3.78%
(('modify', 'integr', 'test', 'websit', 'code'), 30) 3.78%
(('commun', 'excel', 'written', 'commun', 'client'), 30) 3.78%
(('write', 'modify', 'integr', 'test', 'softwar'), 29) 3.66%
(('modify', 'integr', 'test', 'softwar', 'code'), 29) 3.66%
(('graphics', 'database', 'anim', 'softwar', 'develop'), 28) 3.53%
(('database', 'anim', 'softwar', 'develop', 'websit'), 28) 3.53%
(('anim', 'softwar', 'develop', 'websit', 'architectur'), 28) 3.53%
(('softwar', 'develop', 'websit', 'architectur', 'determin'), 28) 3.53%
(('develop', 'websit', 'architectur', 'determin', 'hardwar'), 28) 3.53%
(('websit', 'architectur', 'determin', 'hardwar', 'softwar'), 28) 3.53%
(('architectur', 'determin', 'hardwar', 'softwar', 'requir'), 28) 3.53%
(('determin', 'hardwar', 'softwar', 'requir', 'plan'), 28) 3.53%
(('hardwar', 'softwar', 'requir', 'plan', 'design'), 28) 3.53%
