(('bachelor', 'degre', 'comput', 'science', 'engineering'), 52) 4.07%
(('degre', 'comput', 'science', 'engineering', 'business'), 49) 3.83%
(('comput', 'science', 'engineering', 'business', 'financ'), 49) 3.83%
(('science', 'engineering', 'business', 'financ', 'area'), 49) 3.83%
(('engineering', 'business', 'financ', 'area', 'studi'), 49) 3.83%
(('strong', 'knowledg', 'cloud', 'environ', 'unixwindows'), 49) 3.83%
(('knowledg', 'cloud', 'environ', 'unixwindows', 'virtualization'), 49) 3.83%
(('cloud', 'environ', 'unixwindows', 'virtualization', 'containers'), 49) 3.83%
(('environ', 'unixwindows', 'virtualization', 'containers', 'data'), 49) 3.83%
(('unixwindows', 'virtualization', 'containers', 'data', 'management'), 49) 3.83%
(('virtualization', 'containers', 'data', 'management', 'cicd'), 49) 3.83%
(('containers', 'data', 'management', 'cicd', 'management'), 49) 3.83%
(('selfstart', 'attitude', 'strong', 'desir', 'learn'), 48) 3.75%
(('attitude', 'strong', 'desir', 'learn', 'go'), 48) 3.75%
(('strong', 'desir', 'learn', 'go', 'belief'), 48) 3.75%
(('desir', 'learn', 'go', 'belief', 'meaning'), 48) 3.75%
(('learn', 'go', 'belief', 'meaning', 'contribut'), 48) 3.75%
(('go', 'belief', 'meaning', 'contribut', 'team'), 48) 3.75%
(('belief', 'meaning', 'contribut', 'team', 'busi'), 48) 3.75%
(('meaning', 'contribut', 'team', 'busi', 'user'), 48) 3.75%
(('contribut', 'team', 'busi', 'user', 'serve'), 48) 3.75%
(('team', 'busi', 'user', 'serve', 'organ'), 48) 3.75%
(('8', 'hour', 'shift', 'monday', 'friday'), 43) 3.36%
(('vision', 'care', '8', 'hour', 'shift'), 41) 3.21%
(('dental', 'care', 'extend', 'health', 'care'), 40) 3.13%
(('extend', 'health', 'care', 'life', 'insur'), 39) 3.05%
(('administ', 'local', 'area', 'network', 'lans'), 37) 2.89%
(('local', 'area', 'network', 'lans', 'wide'), 37) 2.89%
(('area', 'network', 'lans', 'wide', 'area'), 37) 2.89%
(('network', 'lans', 'wide', 'area', 'network'), 37) 2.89%
(('lans', 'wide', 'area', 'network', 'wans'), 37) 2.89%
(('employe', 'assist', 'program', 'extend', 'health'), 36) 2.81%
(('assist', 'program', 'extend', 'health', 'care'), 36) 2.81%
(('maintain', 'troubleshoot', 'administ', 'local', 'area'), 34) 2.66%
(('troubleshoot', 'administ', 'local', 'area', 'network'), 34) 2.66%
(('evalu', 'instal', 'comput', 'hardware', 'network'), 33) 2.58%
(('instal', 'comput', 'hardware', 'network', 'softwar'), 33) 2.58%
(('comput', 'hardware', 'network', 'softwar', 'oper'), 33) 2.58%
(('hardware', 'network', 'softwar', 'oper', 'softwar'), 33) 2.58%
(('wide', 'area', 'network', 'wans', 'mainfram'), 32) 2.50%
(('area', 'network', 'wans', 'mainfram', 'network'), 32) 2.50%
(('network', 'wans', 'mainfram', 'network', 'comput'), 32) 2.50%
(('wans', 'mainfram', 'network', 'comput', 'workstat'), 32) 2.50%
(('mainfram', 'network', 'comput', 'workstat', 'peripher'), 32) 2.50%
(('network', 'comput', 'workstat', 'peripher', 'equip'), 32) 2.50%
(('provid', 'problemsolv', 'servic', 'network', 'user'), 32) 2.50%
(('implement', 'code', 'run', 'great', 'platform'), 32) 2.50%
(('code', 'run', 'great', 'platform', 'variabl'), 32) 2.50%
(('run', 'great', 'platform', 'variabl', 'memori'), 32) 2.50%
(('great', 'platform', 'variabl', 'memori', 'network'), 32) 2.50%
(('platform', 'variabl', 'memori', 'network', 'constraint'), 32) 2.50%
(('meet', 'ultim', 'reliabl', 'uptim', 'challeng'), 32) 2.50%
(('ultim', 'reliabl', 'uptim', 'challeng', 'digit'), 32) 2.50%
(('reliabl', 'uptim', 'challeng', 'digit', 'tool'), 32) 2.50%
(('uptim', 'challeng', 'digit', 'tool', 'paper'), 32) 2.50%
(('respect', 'privaci', 'ensur', 'secur', 'offer'), 32) 2.50%
(('privaci', 'ensur', 'secur', 'offer', 'insight'), 32) 2.50%
(('ensur', 'secur', 'offer', 'insight', 'implement'), 32) 2.50%
(('secur', 'offer', 'insight', 'implement', 'code'), 32) 2.50%
(('offer', 'insight', 'implement', 'code', 'run'), 32) 2.50%
(('insight', 'implement', 'code', 'run', 'great'), 32) 2.50%
(('variabl', 'memori', 'network', 'constraint', 'analyz'), 32) 2.50%
(('memori', 'network', 'constraint', 'analyz', 'perform'), 32) 2.50%
(('network', 'constraint', 'analyz', 'perform', 'squash'), 32) 2.50%
(('constraint', 'analyz', 'perform', 'squash', 'tricki'), 32) 2.50%
(('analyz', 'perform', 'squash', 'tricki', 'bug'), 32) 2.50%
(('perform', 'squash', 'tricki', 'bug', 'tool'), 32) 2.50%
(('squash', 'tricki', 'bug', 'tool', 'datadog'), 32) 2.50%
(('mentor', 'crossfunct', 'team', 'particip', 'crossteam'), 32) 2.50%
(('crossfunct', 'team', 'particip', 'crossteam', 'shareouts'), 32) 2.50%
(('team', 'particip', 'crossteam', 'shareouts', 'brownbags'), 32) 2.50%
(('particip', 'crossteam', 'shareouts', 'brownbags', 'workshop'), 32) 2.50%
(('crossteam', 'shareouts', 'brownbags', 'workshop', 'seri'), 32) 2.50%
